route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-09,2026-02-09,0,8720,42357,16507.53125,15913,6766.4086901046285,4,"6E,AI,QP,SG",32,False,0,2
BLR-DEL,2026-02-09,2026-02-09,0,6935,27473,12758.263157894737,11867,5866.505028254675,4,"6E,AI,IX,SG",19,False,0,2
BLR-BOM,2026-02-09,2026-02-09,0,4444,7615,5951.375,5845,984.6524688310084,5,"6E,AI,IX,QP,SG",16,False,0,2
HYD-DEL,2026-02-09,2026-02-09,0,5600,11485,7626.5,7307,1663.2221489225865,3,"6E,AI,QP",12,False,0,2
HYD-BOM,2026-02-09,2026-02-09,0,6925,10360,8895.666666666666,8995,1100.600088840427,2,"6E,AI",6,False,0,2
MAA-DEL,2026-02-09,2026-02-09,0,8049,19278,14171.857142857143,14697,3895.4569300503827,2,"6E,AI",7,False,0,2
MAA-BOM,2026-02-09,2026-02-09,0,5584,16245,10599.42857142857,7206,4913.341977488957,3,"6E,AI,SG",7,False,0,2
CCU-DEL,2026-02-09,2026-02-09,0,11895,28275,17423.583333333332,16384,4729.245085252919,4,"6E,AI,QP,SG",12,False,0,2
CCU-BOM,2026-02-09,2026-02-09,0,14487,29235,20373.2,17455,5200.029053764989,4,"6E,AI,QP,SG",10,False,0,2
PNQ-DEL,2026-02-09,2026-02-09,0,8275,16195,11484.818181818182,10925,2746.572006178605,5,"6E,AI,IX,QP,SG",11,False,0,2
PNQ-BLR,2026-02-09,2026-02-09,0,6896,11647,8621.0,8040,1667.761373818209,3,"6E,IX,QP",7,False,0,2
AMD-BOM,2026-02-09,2026-02-09,0,8803,12254,10528.5,12254,1725.5,2,"6E,AI",2,False,0,2
AMD-DEL,2026-02-09,2026-02-09,0,8675,42498,15109.2,13391,9269.063445677777,3,"6E,AI,SG",10,False,0,2
GOI-BOM,2026-02-09,2026-02-09,0,7075,9139,8413.0,8796,790.9135766405111,5,"6E,AI,IX,QP,SG",7,False,0,2
GOI-BLR,2026-02-09,2026-02-09,0,8259,9050,8773.0,8784,232.5811686272128,3,"6E,9I,IX",7,False,0,2
COK-BLR,2026-02-09,2026-02-09,0,8534,8535,8534.5,8535,0.5,2,"9I,IX",2,False,0,2
JAI-DEL,2026-02-09,2026-02-09,0,4800,12556,7414.333333333333,4887,3635.880850021843,3,"6E,AI,IX",3,False,0,2
LKO-DEL,2026-02-09,2026-02-09,0,4256,9221,7414.5,7565,1580.7531432832895,3,"6E,AI,IX",8,False,0,2
PAT-DEL,2026-02-09,2026-02-09,0,8938,19101,12643.555555555555,13249,2963.682360814409,4,"6E,AI,IX,SG",9,False,0,2
SXR-DEL,2026-02-09,2026-02-09,0,5772,14141,10046.666666666666,10199,2571.7685657064003,2,"6E,IX",6,False,0,2
BOM-DEL,2026-02-09,2026-02-09,0,7390,52086,19144.08,15945,11294.83816234655,5,"6E,AI,IX,QP,SG",25,False,0,2
DEL-BLR,2026-02-09,2026-02-09,0,7640,26910,15033.541666666666,15999,4358.309821279792,5,"6E,AI,IX,QP,SG",24,False,0,2
BOM-BLR,2026-02-09,2026-02-09,0,4444,22318,8622.421052631578,6428,4536.287727760494,5,"6E,AI,IX,QP,SG",19,False,0,2
DEL-HYD,2026-02-09,2026-02-09,0,7462,22538,10768.333333333334,9280,4022.2349287705983,4,"6E,AI,QP,SG",15,False,0,2
BOM-HYD,2026-02-09,2026-02-09,0,4620,12824,9210.5,11978,3408.1720295978803,2,"6E,AI",6,False,0,2
DEL-MAA,2026-02-09,2026-02-09,0,7037,26910,14022.222222222223,14541,6236.74865041033,2,"6E,AI",9,False,0,2
BOM-MAA,2026-02-09,2026-02-09,0,3940,6290,4934.5,4853,534.8216992606041,3,"6E,AI,SG",10,False,0,2
DEL-CCU,2026-02-09,2026-02-09,0,6577,22538,9768.153846153846,8794,4006.372190670447,4,"6E,AI,QP,SG",13,False,0,2
BOM-CCU,2026-02-09,2026-02-09,0,5596,8878,7101.333333333333,7193,943.1262434643154,4,"6E,AI,QP,SG",9,False,0,2
DEL-PNQ,2026-02-09,2026-02-09,0,7598,22538,12568.357142857143,12425,3864.4019424031167,5,"6E,AI,IX,QP,SG",14,False,0,2
BLR-PNQ,2026-02-09,2026-02-09,0,8655,10440,9465.666666666666,9178,711.5627558800106,3,"6E,IX,QP",6,False,0,2
BOM-AMD,2026-02-09,2026-02-09,0,4514,16550,9165.285714285714,8189,3595.708224071172,3,"6E,AI,QP",7,False,0,2
DEL-AMD,2026-02-09,2026-02-09,0,12769,41876,20446.666666666668,12988,11616.586828993943,3,"6E,AI,SG",9,False,0,2
BOM-GOI,2026-02-09,2026-02-09,0,3891,9199,6191.416666666667,6538,1749.2698218748935,4,"6E,AI,IX,SG",12,False,0,2
BLR-GOI,2026-02-09,2026-02-09,0,3106,8942,5928.0,5976,2188.817565109832,2,"6E,IX",6,False,0,2
BLR-COK,2026-02-09,2026-02-09,0,3394,8760,6138.4,7205,2294.168485530215,2,"6E,IX",5,False,0,2
DEL-JAI,2026-02-09,2026-02-09,0,6291,8629,7460.0,8629,1169.0,2,"6E,AI",2,False,0,2
DEL-LKO,2026-02-09,2026-02-09,0,7423,8158,7783.2,7649,314.2708386089934,2,"6E,IX",5,False,0,2
DEL-PAT,2026-02-09,2026-02-09,0,8158,18166,10783.714285714286,8787,3434.3411809164763,4,"6E,AI,IX,SG",7,False,0,2
