search_date,search_timestamp,departure_date,days_before_departure,origin,destination,route,departure_time,arrival_time,duration_minutes,airline_code,airline_name,airline_type,flight_number,aircraft,origin_terminal,destination_terminal,departure_hour,is_weekend,day_of_week,month,min_price,max_price,avg_price,price_range,min_published_price,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T15:40:00,2026-02-15T17:50:00,130,SG,Spicejet,Budget,664,73H,1D,1,15,True,6,2,5689,7056,6163.0,1367,5689,Economy,True,Coupon,15 KG,7 KG,15
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T14:35:00,2026-02-15T17:00:00,145,IX,Air India Express,Premium,1242,7M8,,2,14,True,6,2,5859,13968,8253.75,8109,5859,Economy,True,Value,15KG,7 Kg,9
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T16:00:00,2026-02-15T18:20:00,140,6E,Indigo,Budget,6318,321,1,2,16,True,6,2,6794,27480,13688.166666666666,20686,6794,Economy,True,SME.CrpCon,15 Kilograms,7 KG,5
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T17:00:00,2026-02-15T19:25:00,145,6E,Indigo,Budget,864,321,1,2,17,True,6,2,6794,32748,15093.0,25954,6794,Economy,True,Saver (Regular),15 Kilograms,7 KG,2
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T21:10:00,2026-02-15T23:35:00,145,SG,Spicejet,Budget,105,73H,1D,1,21,True,6,2,6970,8443,7514.666666666667,1473,6970,Economy,True,Coupon,15 KG,7 KG,3
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T17:30:00,2026-02-15T19:50:00,140,QP,Akasa Air,Budget,1820,7MA,1,1,17,True,6,2,6989,7455,7188.75,466,6989,Economy,True,Corporate,15KG,7 KG,9
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T15:00:00,2026-02-15T17:20:00,140,6E,Indigo,Budget,6022,321,1,2,15,True,6,2,7214,32748,15373.0,25534,7214,Economy,True,SME.CrpCon,15 Kilograms,7 KG,3
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T12:45:00,2026-02-15T15:05:00,140,6E,Indigo,Budget,6051,321,1,2,12,True,6,2,7214,27480,14962.0,20266,7214,Economy,True,Saver (Regular),15 Kilograms,7 KG,7
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T13:50:00,2026-02-15T16:10:00,140,6E,Indigo,Budget,6676,321,1,2,13,True,6,2,7214,27480,14962.0,20266,7214,Economy,True,SME.CrpCon,15 Kilograms,7 KG,7
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T21:00:00,2026-02-15T23:25:00,145,6E,Indigo,Budget,395,321,1,2,21,True,6,2,7214,27480,13968.166666666666,20266,7214,Economy,True,SME.CrpCon,15 Kilograms,7 KG,8
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T22:15:00,2026-02-16T00:50:00,155,6E,Indigo,Budget,6114,321,1,2,22,True,6,2,7214,23265,12563.333333333334,16051,7214,Economy,True,SME.CrpCon,15 Kilograms,7 KG,2
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T17:15:00,2026-02-15T19:15:00,120,6E,Indigo,Budget,6210,320,1,,17,True,6,2,7253,8828,7725.5,1575,7253,Economy,True,SME.CrpCon,15 Kilograms,7 KG,3
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T22:30:00,2026-02-16T00:50:00,140,SG,Spicejet,Budget,879,73H,1D,1,22,True,6,2,7416,8730,7854.666666666667,1314,7416,Economy,True,Coupon,15 KG,7 KG,5
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T13:20:00,2026-02-15T15:45:00,145,AI,Air India,Premium,2951,32N,3,2,13,True,6,2,7557,7581,7569.0,24,7557,Economy,True,Publish,15 KG,7 KG,1
2026-02-15,2026-02-15 04:33:39,2026-02-15,0,DEL,BOM,DEL-BOM,2026-02-15T17:05:00,2026-02-15T19:35:00,150,AI,Air India,Premium,441,77W,3,2,17,True,6,2,7557,7581,7569.0,24,7557,Economy,True,Publish,15 KG,7 KG,1
