route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-13,2026-02-13,0,6571,22627,12097.176470588236,11099,3807.8676792892606,5,"6E,AI,IX,QP,SG",34,False,4,2
BLR-DEL,2026-02-13,2026-02-13,0,15355,62617,23971.260869565216,21999,9539.544940461128,4,"6E,AI,IX,SG",23,False,4,2
BLR-BOM,2026-02-13,2026-02-13,0,10625,42462,22820.9,22166,9404.173716494182,2,"6E,AI",10,False,4,2
HYD-DEL,2026-02-13,2026-02-13,0,12019,23337,15072.785714285714,14845,2923.5816629257884,3,"6E,AI,QP",14,False,4,2
HYD-BOM,2026-02-13,2026-02-13,0,8995,18988,15260.857142857143,13638,3565.5394474077007,2,"6E,AI",7,False,4,2
MAA-DEL,2026-02-13,2026-02-13,0,10468,27308,17230.083333333332,17014,4076.4641839534856,3,"6E,AI,SG",12,False,4,2
MAA-BOM,2026-02-13,2026-02-13,0,5219,23014,14900.181818181818,16245,6381.858304717178,4,"6E,AI,QP,SG",11,False,4,2
CCU-DEL,2026-02-13,2026-02-13,0,7782,12706,9846.0,9181,1745.4689473473443,4,"6E,AI,QP,SG",13,False,4,2
CCU-BOM,2026-02-13,2026-02-13,0,8134,19463,10582.916666666666,9337,3276.34497721504,4,"6E,AI,QP,SG",12,False,4,2
PNQ-DEL,2026-02-13,2026-02-13,0,10114.5,16661,14254.6875,15444,2153.1608587362325,5,"6E,AI,IX,QP,SG",8,False,4,2
PNQ-BLR,2026-02-13,2026-02-13,0,10536,13445,12707.8,13188,1102.851830483134,3,"6E,IX,QP",5,False,4,2
AMD-BOM,2026-02-13,2026-02-13,0,4416,9013,6714.5,9013,2298.5,2,"9I,SG",2,False,4,2
AMD-DEL,2026-02-13,2026-02-13,0,11524,42498,20029.7,18788,9268.066292922165,3,"6E,AI,SG",10,False,4,2
GOI-BOM,2026-02-13,2026-02-13,0,4516,9369,6827.764705882353,6353,1703.9496516109018,5,"6E,AI,IX,QP,SG",17,False,4,2
GOI-BLR,2026-02-13,2026-02-13,0,5108,12914,6893.0,5322,3018.9926796863883,2,"6E,IX",5,False,4,2
COK-BLR,2026-02-13,2026-02-13,0,8030,8535,8278.0,8430,210.1059256660792,3,"6E,9I,IX",4,False,4,2
JAI-DEL,2026-02-13,2026-02-13,0,4590,18115,8803.4,6777,4773.885654265297,4,"6E,9I,AI,IX",5,False,4,2
LKO-DEL,2026-02-13,2026-02-13,0,8448,9449,9079.0,9221,352.0692403491109,3,"6E,AI,IX",8,False,4,2
PAT-DEL,2026-02-13,2026-02-13,0,5714,13704,7349.545454545455,6796,2156.1185818138515,4,"6E,AI,IX,SG",11,False,4,2
SXR-DEL,2026-02-13,2026-02-13,0,4397,20634,7978.0,5390,5430.683119355901,4,"6E,AI,IX,SG",7,False,4,2
BOM-DEL,2026-02-13,2026-02-13,0,13798,52086,26550.777777777777,22659,12198.720164604194,5,"6E,AI,IX,QP,SG",27,False,4,2
DEL-BLR,2026-02-13,2026-02-13,0,6324,26910,11994.645161290322,9695,5863.123380700366,5,"6E,AI,IX,QP,SG",31,False,4,2
BOM-BLR,2026-02-13,2026-02-13,0,7455,26415,17374.1875,18221,5270.4069603156595,4,"6E,AI,QP,SG",16,False,4,2
DEL-HYD,2026-02-13,2026-02-13,0,5418,7285,5817.684210526316,5600,511.03126412049124,4,"6E,AI,QP,SG",19,False,4,2
