search_date,search_timestamp,departure_date,days_before_departure,origin,destination,route,departure_time,arrival_time,duration_minutes,airline_code,airline_name,airline_type,flight_number,aircraft,origin_terminal,destination_terminal,departure_hour,is_weekend,day_of_week,month,min_price,max_price,avg_price,price_range,min_published_price,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T22:30:00,2026-02-14T00:50:00,140,SG,Spicejet,Budget,879,,,,22,False,4,2,6571,13913,11421.0,7342,6571,Economy,False,Inst_Series6,15Kg,7Kg,2
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T21:10:00,2026-02-13T23:35:00,145,SG,Spicejet,Budget,105,,,,21,False,4,2,6571,11925,9825.5,5354,6571,Economy,False,Inst_Series6,15Kg,7Kg,1
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T16:00:00,2026-02-13T18:20:00,140,QP,Akasa Air,Budget,1128,7MA,1,1,16,False,4,2,7231,7707,7438.25,476,7231,Economy,True,Corporate,15KG,7 KG,4
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T17:30:00,2026-02-13T19:50:00,140,QP,Akasa Air,Budget,1820,7MA,1,1,17,False,4,2,8055,8568,8289.5,513,8055,Economy,True,Corporate,15KG,7 KG,9
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T17:05:00,2026-02-13T19:35:00,150,AI,Air India,Premium,441,359,3,2,17,False,4,2,8084,8097,8090.5,13,8084,Economy,True,Publish,15 KG,7 KG,3
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T15:00:00,2026-02-13T17:20:00,140,6E,Indigo,Budget,6022,321,1,2,15,False,4,2,8159,32748,16003.0,24589,8159,Economy,True,Saver (Regular),15 Kilograms,7 KG,3
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T16:00:00,2026-02-13T18:20:00,140,6E,Indigo,Budget,6318,321,1,2,16,False,4,2,8159,32748,17214.8,24589,8159,Economy,True,SME.CrpCon,15 Kilograms,7 KG,5
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T18:00:00,2026-02-13T20:25:00,145,6E,Indigo,Budget,810,321,1,2,18,False,4,2,8159,32748,16003.0,24589,8159,Economy,True,SME.CrpCon,15 Kilograms,7 KG,4
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T17:30:00,2026-02-13T20:00:00,150,AI,Air India,Premium,1736,32N,2,2,17,False,4,2,8588,8588,8588.0,0,8588,Economy,True,Publish,15 KG,7 KG,2
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T16:00:00,2026-02-13T18:35:00,155,AI,Air India,Premium,1777,32N,2,2,16,False,4,2,8588,8588,8588.0,0,8588,Economy,True,Publish,15 KG,7 KG,2
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T17:00:00,2026-02-13T19:25:00,145,6E,Indigo,Budget,864,321,1,2,17,False,4,2,8684,32748,16353.0,24064,8684,Economy,True,SME.CrpCon,15 Kilograms,7 KG,3
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T17:15:00,2026-02-13T19:15:00,120,6E,Indigo,Budget,6210,320,1,,17,False,4,2,9038,10613,9510.5,1575,9038,Economy,True,SME.CrpCon,15 Kilograms,7 KG,2
2026-02-13,2026-02-13 04:32:44,2026-02-13,0,DEL,BOM,DEL-BOM,2026-02-13T15:30:00,2026-02-13T17:45:00,135,AI,Air India,Premium,2933,32N,3,2,15,False,4,2,9567,9584,9575.5,17,9567,Economy,True,SME,15 KG,7 KG,1
