search_date,search_timestamp,departure_date,days_before_departure,origin,destination,route,departure_time,arrival_time,duration_minutes,airline_code,airline_name,airline_type,flight_number,aircraft,origin_terminal,destination_terminal,departure_hour,is_weekend,day_of_week,month,min_price,max_price,avg_price,price_range,min_published_price,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T20:30:00,2026-02-09T22:50:00,140,SG,Spicejet,Budget,105,,,,20,False,0,2,8720,8750,8735.0,30,8720,Economy,False,Inst_Series2,15KG,7KG,9
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T22:15:00,2026-02-10T00:35:00,140,SG,Spicejet,Budget,879,,,,22,False,0,2,8720,8750,8735.0,30,8720,Economy,False,Inst_Series2,15KG,7KG,9
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T23:30:00,2026-02-10T01:55:00,145,6E,Indigo,Budget,519,321,1,2,23,False,0,2,10469,23265,14733.333333333334,12796,10469,Economy,True,SME.CrpCon,15 Kilograms,7 KG,5
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T21:10:00,2026-02-09T23:35:00,145,SG,Spicejet,Budget,105,73H,1D,1,21,False,0,2,10611,11941,11352.8,1330,10611,Economy,True,Coupon,15 KG,7 KG,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T22:15:00,2026-02-10T00:50:00,155,6E,Indigo,Budget,6114,321,1,2,22,False,0,2,11099,23265,15153.333333333334,12166,11099,Economy,True,Saver (Regular),15 Kilograms,7 KG,4
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T22:30:00,2026-02-10T00:50:00,140,SG,Spicejet,Budget,879,73H,1D,1,22,False,0,2,11552,13010,12339.6,1458,11552,Economy,True,Coupon,15 KG,7 KG,6
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T16:00:00,2026-02-09T18:20:00,140,6E,Indigo,Budget,6318,321,1,2,16,False,0,2,12569,27480,18175.0,14911,12569,Economy,True,SME.CrpCon,15 Kilograms,7 KG,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T19:00:00,2026-02-09T21:25:00,145,6E,Indigo,Budget,354,321,1,2,19,False,0,2,12569,27480,17538.166666666668,14911,12569,Economy,True,SME.CrpCon,15 Kilograms,7 KG,13
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T18:00:00,2026-02-09T20:25:00,145,6E,Indigo,Budget,810,321,1,2,18,False,0,2,12569,23265,16133.333333333334,10696,12569,Economy,True,SME.CrpCon,15 Kilograms,7 KG,4
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T17:00:00,2026-02-09T19:25:00,145,6E,Indigo,Budget,864,321,1,2,17,False,0,2,12569,27480,17538.166666666668,14911,12569,Economy,True,SME.CrpCon,15 Kilograms,7 KG,8
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T17:15:00,2026-02-09T19:15:00,120,6E,Indigo,Budget,6210,320,1,,17,False,0,2,12608,14183,13080.5,1575,12608,Economy,True,SME.CrpCon,15 Kilograms,7 KG,2
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T17:30:00,2026-02-09T19:50:00,140,QP,Akasa Air,Budget,1820,7MA,1,1,17,False,0,2,12666,13369,13043.0,703,12666,Economy,True,Corporate,15KG,7 KG,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T21:00:00,2026-02-09T23:25:00,145,6E,Indigo,Budget,395,321,1,2,21,False,0,2,14249,27480,18658.166666666668,13231,14249,Economy,True,SME.CrpCon,15 Kilograms,7 KG,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T16:55:00,2026-02-09T19:15:00,140,QP,Akasa Air,Budget,1128,7MB,1,1,16,False,0,2,14538,15318,14973.25,780,14538,Economy,True,Corporate,15KG,7 KG,3
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T20:00:00,2026-02-09T22:20:00,140,6E,Indigo,Budget,6773,321,1,2,20,False,0,2,15141,27480,19252.833333333332,12339,15141,Economy,True,SME.CrpCon,15 Kilograms,7 KG,14
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T15:30:00,2026-02-09T17:45:00,135,AI,Air India,Premium,2933,32N,3,2,15,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T18:00:00,2026-02-09T20:20:00,140,AI,Air India,Premium,2955,32N,3,2,18,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T21:00:00,2026-02-09T23:20:00,140,AI,Air India,Premium,2981,32N,3,2,21,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,5
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T20:00:00,2026-02-09T22:25:00,145,AI,Air India,Premium,2805,321,3,2,20,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,2
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T17:30:00,2026-02-09T20:00:00,150,AI,Air India,Premium,1736,32N,2,2,17,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T16:30:00,2026-02-09T19:00:00,150,AI,Air India,Premium,2941,32N,3,2,16,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,3
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T19:00:00,2026-02-09T21:30:00,150,AI,Air India,Premium,2977,32N,3,2,19,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,6
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T19:40:00,2026-02-09T22:10:00,150,AI,Air India,Premium,2985,32N,3,2,19,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,4
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T17:05:00,2026-02-09T19:35:00,150,AI,Air India,Premium,441,359,3,2,17,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,5
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T16:00:00,2026-02-09T18:35:00,155,AI,Air India,Premium,1777,32N,2,2,16,False,0,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,6
2026-02-09,2026-02-09 07:18:59,2026-02-09,0,DEL,BOM,DEL-BOM,2026-02-09T15:40:00,2026-02-09T17:50:00,130,SG,Spicejet,Budget,664,73H,1D,1,15,False,0,2,18520,21553,20381.666666666668,3033,18520,Economy,True,Coupon,15 KG,7 KG,1
