route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-11,2026-02-11,0,8620,28534,14937.5,15913,4403.606003973936,5,"6E,AI,IX,QP,SG",34,False,2,2
BLR-DEL,2026-02-11,2026-02-11,0,6411,19443,9796.038461538461,9071,3409.836669681603,5,"6E,AI,IX,QP,SG",26,False,2,2
BLR-BOM,2026-02-11,2026-02-11,0,10108,42462,15395.666666666666,13364,7596.294883399114,5,"6E,AI,IX,QP,SG",15,False,2,2
HYD-DEL,2026-02-11,2026-02-11,0,5815,20999,8196.785714285714,6597,3993.760136201247,3,"6E,AI,QP",14,False,2,2
HYD-BOM,2026-02-11,2026-02-11,0,8365,16080,12215.0,13591,2614.3433209890395,2,"6E,AI",8,False,2,2
MAA-DEL,2026-02-11,2026-02-11,0,6246,19278,9395.0,8511,3472.796777029352,2,"6E,AI",11,False,2,2
MAA-BOM,2026-02-11,2026-02-11,0,4642,17946,11878.363636363636,13372,4699.643396002167,4,"6E,AI,QP,SG",11,False,2,2
CCU-DEL,2026-02-11,2026-02-11,0,9219,28275,14119.214285714286,12706,4615.553537126574,4,"6E,AI,QP,SG",14,False,2,2
CCU-BOM,2026-02-11,2026-02-11,0,12229,23005,16363.272727272728,15145,3036.7849653243206,4,"6E,AI,QP,SG",11,False,2,2
PNQ-DEL,2026-02-11,2026-02-11,0,8379,16404,12989.076923076924,12796,2880.2567316537406,5,"6E,AI,IX,QP,SG",13,False,2,2
PNQ-BLR,2026-02-11,2026-02-11,0,9025,13445,11429.857142857143,11580,1449.6779374912828,3,"6E,IX,QP",7,False,2,2
AMD-BOM,2026-02-11,2026-02-11,0,8803,8803,8803.0,8803,0,1,6E,1,False,2,2
AMD-DEL,2026-02-11,2026-02-11,0,13610,42498,25022.0,24575,11444.273666336365,3,"6E,AI,SG",8,False,2,2
GOI-BOM,2026-02-11,2026-02-11,0,5250,27353,9401.533333333333,8347,5082.260217221818,5,"6E,AI,IX,QP,SG",15,False,2,2
GOI-BLR,2026-02-11,2026-02-11,0,6100,8966,7389.333333333333,7102,1187.5491100956158,2,"6E,IX",3,False,2,2
COK-BLR,2026-02-11,2026-02-11,0,8534,8535,8534.333333333334,8534,0.4714045207910317,2,"9I,IX",3,False,2,2
JAI-DEL,2026-02-11,2026-02-11,0,4800,8561,6680.5,8561,1880.5,2,"6E,IX",2,False,2,2
LKO-DEL,2026-02-11,2026-02-11,0,7986,12644,9442.285714285714,9193,1373.7206738620187,3,"6E,AI,IX",7,False,2,2
PAT-DEL,2026-02-11,2026-02-11,0,5836,8325,6641.272727272727,6610,733.4272091178375,4,"6E,AI,IX,SG",11,False,2,2
SXR-DEL,2026-02-11,2026-02-11,0,4397,11132,6139.833333333333,5364,2105.0602063176775,5,"6E,AI,IX,QP,SG",12,False,2,2
BOM-DEL,2026-02-11,2026-02-11,0,11450,28725,17041.58620689655,15945,4054.484996568116,5,"6E,AI,IX,QP,SG",29,False,2,2
DEL-BLR,2026-02-11,2026-02-11,0,6324,18880,7993.69696969697,7020,2891.3640954426787,5,"6E,AI,IX,QP,SG",33,False,2,2
BOM-BLR,2026-02-11,2026-02-11,0,5022,18221,11168.35,12824,2986.1632285426062,5,"6E,AI,IX,QP,SG",20,False,2,2
DEL-HYD,2026-02-11,2026-02-11,0,5465,13999,6824.0,6130,2247.961698961973,4,"6E,AI,QP,SG",20,False,2,2
BOM-HYD,2026-02-11,2026-02-11,0,7737,15997,10260.714285714286,9345,2819.184518072341,2,"6E,AI",7,False,2,2
DEL-MAA,2026-02-11,2026-02-11,0,6105,16617,10133.818181818182,9095,3693.625856383149,2,"6E,AI",11,False,2,2
BOM-MAA,2026-02-11,2026-02-11,0,4027,14621,6740.333333333333,5192,3279.4753221954406,3,"6E,AI,SG",12,False,2,2
DEL-CCU,2026-02-11,2026-02-11,0,5802,15824,9126.533333333333,7925,2469.021043967741,4,"6E,AI,QP,SG",15,False,2,2
BOM-CCU,2026-02-11,2026-02-11,0,7169,28541,13451.90909090909,8944,6699.532418616927,4,"6E,AI,QP,SG",11,False,2,2
DEL-PNQ,2026-02-11,2026-02-11,0,8066,22538,12224.8,10280,3890.5729175362676,5,"6E,AI,IX,QP,SG",15,False,2,2
BLR-PNQ,2026-02-11,2026-02-11,0,12157,13667,12870.5,13380,616.7816334273689,3,"6E,IX,QP",6,False,2,2
BOM-AMD,2026-02-11,2026-02-11,0,5398,8241,7618.272727272727,8031,867.7390779710319,3,"6E,AI,QP",11,False,2,2
DEL-AMD,2026-02-11,2026-02-11,0,9072,29062,14909.5,12988,5186.067300951657,3,"6E,AI,SG",10,False,2,2
BOM-GOI,2026-02-11,2026-02-11,0,4111,8953,6479.916666666667,7179,1671.5986090333477,4,"6E,AI,IX,SG",12,False,2,2
BLR-GOI,2026-02-11,2026-02-11,0,4823,5978,5347.6,5348,374.18957762075627,2,"6E,9I",5,False,2,2
BLR-COK,2026-02-11,2026-02-11,0,7561,8760,8340.5,8760,466.08645478423136,2,"6E,IX",6,False,2,2
DEL-LKO,2026-02-11,2026-02-11,0,6250,8186,7808.375,8158,610.7225101263257,3,"6E,AI,IX",8,False,2,2
DEL-PAT,2026-02-11,2026-02-11,0,6607,41876,12030.888888888889,8158,10691.02570117619,3,"6E,AI,IX",9,False,2,2
DEL-SXR,2026-02-11,2026-02-11,0,12968,12987,12979.4,12987,9.308061022576078,2,"6E,IX",5,False,2,2
