route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-08,2026-02-08,0,9027,28534,15338.923076923076,15913,4621.955180049947,5,"6E,AI,IX,QP,SG",26,True,6,2
BLR-DEL,2026-02-08,2026-02-08,0,16000,28406,20768.285714285714,20033,3132.3511121513693,4,"6E,AI,IX,SG",14,True,6,2
BLR-BOM,2026-02-08,2026-02-08,0,7348,22166,11821.785714285714,8986,4753.581734989364,4,"6E,AI,QP,SG",14,True,6,2
HYD-DEL,2026-02-08,2026-02-08,0,14845,35891,18951.18181818182,16623,5671.636653610535,2,"6E,AI",11,True,6,2
HYD-BOM,2026-02-08,2026-02-08,0,8504,13638,11274.333333333334,12693,2133.316562434079,2,"6E,AI",6,True,6,2
MAA-DEL,2026-02-08,2026-02-08,0,21946,27308,23286.5,21946,2321.81410754608,2,"6E,AI",4,True,6,2
MAA-BOM,2026-02-08,2026-02-08,0,7011,27678,14992.57142857143,10835,7117.609447342413,3,"6E,AI,SG",7,True,6,2
CCU-DEL,2026-02-08,2026-02-08,0,14435,28275,21052.81818181818,23098,4692.3968447649795,4,"6E,AI,QP,SG",11,True,6,2
CCU-BOM,2026-02-08,2026-02-08,0,16960,35510,21764.090909090908,19463,5169.150087596527,4,"6E,AI,QP,SG",11,True,6,2
PNQ-DEL,2026-02-08,2026-02-08,0,10651,16664,14947.0,16195,2142.9362184543984,5,"6E,AI,IX,QP,SG",11,True,6,2
PNQ-BLR,2026-02-08,2026-02-08,0,12039,13445,12703.75,12985,547.364309669529,2,"IX,QP",4,True,6,2
AMD-BOM,2026-02-08,2026-02-08,0,27388,27388,27388.0,27388,0,1,AI,1,True,6,2
AMD-DEL,2026-02-08,2026-02-08,0,11246,42498,18991.3,13791,9043.384532905808,3,"6E,AI,SG",10,True,6,2
GOI-BOM,2026-02-08,2026-02-08,0,8193,12219,9605.875,9139,1343.138064152379,5,"6E,AI,IX,QP,SG",8,True,6,2
GOI-BLR,2026-02-08,2026-02-08,0,8468,9050,8838.0,9050,239.6372258227006,2,"6E,IX",4,True,6,2
COK-BLR,2026-02-08,2026-02-08,0,8535,8535,8535.0,8535,0,1,9I,1,True,6,2
JAI-DEL,2026-02-08,2026-02-08,0,4065,18115,8964.0,7425,5419.176413441437,4,"6E,9I,AI,IX",4,True,6,2
LKO-DEL,2026-02-08,2026-02-08,0,7986,9449,8985.375,9221,476.800256265661,3,"6E,AI,IX",8,True,6,2
PAT-DEL,2026-02-08,2026-02-08,0,9618,19101,13153.625,12558,3694.6655104860306,3,"6E,AI,IX",8,True,6,2
SXR-DEL,2026-02-08,2026-02-08,0,7728,14141,10934.5,14141,3206.5,1,6E,2,True,6,2
BOM-DEL,2026-02-08,2026-02-08,0,10740,25565,18318.727272727272,16154,4650.918327519437,4,"6E,AI,QP,SG",11,True,6,2
DEL-BLR,2026-02-08,2026-02-08,0,9834,26910,15015.142857142857,13012,4225.9993947412895,5,"6E,AI,IX,QP,SG",21,True,6,2
BOM-BLR,2026-02-08,2026-02-08,0,7822,13306,11724.882352941177,12824,1917.1027430306494,4,"6E,AI,QP,SG",17,True,6,2
DEL-HYD,2026-02-08,2026-02-08,0,9870,20999,14126.461538461539,14001,2526.6799929912468,4,"6E,AI,QP,SG",13,True,6,2
BOM-HYD,2026-02-08,2026-02-08,0,6848,41931,13288.5,10196,10956.085398079005,3,"6E,9I,AI",8,True,6,2
DEL-MAA,2026-02-08,2026-02-08,0,9790,50418,18274.777777777777,11172,12561.600789511729,2,"6E,AI",9,True,6,2
BOM-MAA,2026-02-08,2026-02-08,0,3940,15879,9313.4,9744,4225.33816871502,3,"6E,AI,SG",10,True,6,2
DEL-CCU,2026-02-08,2026-02-08,0,9254,22538,12297.75,11206,3575.134755618777,4,"6E,AI,QP,SG",12,True,6,2
BOM-CCU,2026-02-08,2026-02-08,0,6424,18935,8834.444444444445,7085,3716.1902567940947,4,"6E,AI,QP,SG",9,True,6,2
DEL-PNQ,2026-02-08,2026-02-08,0,10889,16033,14280.916666666666,15041,1789.3268500720847,5,"6E,AI,IX,QP,SG",12,True,6,2
BLR-PNQ,2026-02-08,2026-02-08,0,10440,13667,11895.6,11805,1134.0410221857055,3,"6E,IX,QP",5,True,6,2
BOM-AMD,2026-02-08,2026-02-08,0,7874,11664,9213.0,8101,1735.594614726223,3,"6E,AI,QP",3,True,6,2
DEL-AMD,2026-02-08,2026-02-08,0,11750,41876,18422.833333333332,12988,10690.216343564905,3,"6E,AI,SG",6,True,6,2
BOM-GOI,2026-02-08,2026-02-08,0,4111,8241,6007.0,6104,1772.822495344641,4,"6E,AI,IX,SG",10,True,6,2
BLR-GOI,2026-02-08,2026-02-08,0,2369,7217,3226.1111111111113,2878,1436.0776398420528,3,"6E,9I,IX",9,True,6,2
BLR-COK,2026-02-08,2026-02-08,0,4987,8760,6555.2,6206,1423.4419412115128,2,"6E,IX",5,True,6,2
DEL-JAI,2026-02-08,2026-02-08,0,8601,17611,13106.0,17611,4505.0,2,"6E,AI",2,True,6,2
DEL-LKO,2026-02-08,2026-02-08,0,7449,8186,8014.166666666667,8158,265.90124524383526,3,"6E,AI,IX",6,True,6,2
DEL-PAT,2026-02-08,2026-02-08,0,11857,18166,13737.25,12883,2585.9907554939173,3,"6E,AI,SG",4,True,6,2
DEL-SXR,2026-02-08,2026-02-08,0,12968,12968,12968.0,12968,0,1,6E,1,True,6,2
