route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-15,2026-02-15,0,5689,15913,8458.485714285714,7942,2330.3098551961907,5,"6E,AI,IX,QP,SG",35,True,6,2
BLR-DEL,2026-02-15,2026-02-15,0,12145,51978,22413.47619047619,19443,8097.28672733473,4,"6E,AI,IX,SG",21,True,6,2
BLR-BOM,2026-02-15,2026-02-15,0,5845,9918,7440.4375,7124,1239.4927374106514,4,"6E,AI,QP,SG",16,True,6,2
HYD-DEL,2026-02-15,2026-02-15,0,9984,52764,17117.14285714286,15782,10282.86997081723,3,"6E,AI,QP",14,True,6,2
HYD-BOM,2026-02-15,2026-02-15,0,8995,13591,11258.0,10360,1872.124862288838,2,"6E,AI",8,True,6,2
MAA-DEL,2026-02-15,2026-02-15,0,9085,42358,18561.3,16910,8492.714937521452,2,"6E,AI",10,True,6,2
MAA-BOM,2026-02-15,2026-02-15,0,4444,15152,11019.0,12462,2994.0957900508124,3,"6E,AI,SG",10,True,6,2
CCU-BOM,2026-02-15,2026-02-15,0,15813,19765,18002.3,17455,1389.8782716482763,3,"6E,AI,QP",10,True,6,2
PNQ-DEL,2026-02-15,2026-02-15,0,8822,20864,13125.416666666666,13698,3614.617394652195,5,"6E,AI,IX,QP,SG",12,True,6,2
PNQ-BLR,2026-02-15,2026-02-15,0,5102,13445,11796.285714285714,13188,2819.909609204102,3,"6E,IX,QP",7,True,6,2
AMD-BOM,2026-02-15,2026-02-15,0,7445,27388,15965.4,8803,9339.686774191092,3,"6E,AI,SG",5,True,6,2
AMD-DEL,2026-02-15,2026-02-15,0,10236,35289,15686.0,13610,6022.601776130159,3,"6E,AI,SG",13,True,6,2
GOI-BOM,2026-02-15,2026-02-15,0,8796,9101,8893.2,8873,108.04887782850871,4,"6E,AI,IX,QP",5,True,6,2
GOI-BLR,2026-02-15,2026-02-15,0,8259,9050,8786.333333333334,9050,372.88097594570604,2,"6E,9I",3,True,6,2
JAI-DEL,2026-02-15,2026-02-15,0,5115,12556,7717.166666666667,7425,2544.8089919590343,4,"6E,9I,AI,IX",6,True,6,2
LKO-DEL,2026-02-15,2026-02-15,0,7549,9449,8680.454545454546,9088,663.0261702823946,3,"6E,AI,IX",11,True,6,2
PAT-DEL,2026-02-15,2026-02-15,0,7308,19101,10408.0,8710,3601.6913955933132,4,"6E,AI,IX,SG",11,True,6,2
SXR-DEL,2026-02-15,2026-02-15,0,5390,43017,15881.4,9269,13780.890981355305,5,"6E,AI,IX,QP,SG",5,True,6,2
BOM-DEL,2026-02-15,2026-02-15,0,9848,28725,14126.933333333332,14194,3461.383094788684,5,"6E,AI,IX,QP,SG",30,True,6,2
DEL-BLR,2026-02-15,2026-02-15,0,8905,26910,13578.806451612903,12055,3971.171838260167,5,"6E,AI,IX,QP,SG",31,True,6,2
BOM-BLR,2026-02-15,2026-02-15,0,7390,19531,12853.066666666668,12824,2760.997149984444,4,"6E,AI,QP,SG",15,True,6,2
DEL-HYD,2026-02-15,2026-02-15,0,10386,15824,13385.736842105263,12955,1568.5978264916214,4,"6E,AI,QP,SG",19,True,6,2
BOM-HYD,2026-02-15,2026-02-15,0,6195,15997,9855.0,9345,2964.6545611026363,3,"6E,9I,AI",9,True,6,2
DEL-MAA,2026-02-15,2026-02-15,0,9167,26910,16165.0,16616,5586.348300395647,2,"6E,AI",12,True,6,2
DEL-CCU,2026-02-15,2026-02-15,0,6104,10311,7861.466666666666,7994,1258.2868706653855,4,"6E,AI,QP,SG",15,True,6,2
BOM-CCU,2026-02-15,2026-02-15,0,11272,23154,17149.8,18935,4221.028282302786,3,"6E,AI,QP",10,True,6,2
DEL-PNQ,2026-02-15,2026-02-15,0,8924,22538,14161.4,14477,3180.7082397897907,5,"6E,AI,IX,QP,SG",15,True,6,2
BLR-PNQ,2026-02-15,2026-02-15,0,4664,13380,10272.25,10440,2631.5197486433576,3,"6E,IX,QP",8,True,6,2
BOM-AMD,2026-02-15,2026-02-15,0,7559,16550,9006.444444444445,8213,2676.545165823166,3,"6E,AI,QP",9,True,6,2
DEL-AMD,2026-02-15,2026-02-15,0,5513,29062,10700.0,9185,5733.644448923099,3,"6E,AI,SG",12,True,6,2
BOM-GOI,2026-02-15,2026-02-15,0,4018,8241,6179.6,6223,1568.5979642130526,5,"6E,AI,IX,QP,SG",15,True,6,2
BLR-GOI,2026-02-15,2026-02-15,0,3106,5399,4228.777777777777,4138,677.4597614582447,3,"6E,9I,IX",9,True,6,2
BLR-COK,2026-02-15,2026-02-15,0,5555,8760,7531.285714285715,8264,1304.1423798568833,2,"6E,IX",7,True,6,2
DEL-JAI,2026-02-15,2026-02-15,0,7761,8629,8155.333333333333,8076,358.7722892804788,2,"6E,AI",3,True,6,2
DEL-LKO,2026-02-15,2026-02-15,0,4749,8186,6748.454545454545,6898,1152.821863053388,3,"6E,AI,IX",11,True,6,2
DEL-PAT,2026-02-15,2026-02-15,0,9092,41876,14590.0,11122,10370.758747555552,4,"6E,AI,IX,SG",8,True,6,2
DEL-SXR,2026-02-15,2026-02-15,0,12965,12968,12966.5,12968,1.5,2,"6E,IX",2,True,6,2
