route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-10,2026-02-10,0,9143,28534,14868.945945945947,15784,3900.468368937013,5,"6E,AI,IX,QP,SG",37,False,1,2
BLR-DEL,2026-02-10,2026-02-10,0,6520,19443,7826.333333333333,7120,2598.59536844213,4,"6E,AI,IX,SG",24,False,1,2
BLR-BOM,2026-02-10,2026-02-10,0,5198,15844,8579.70588235294,8042,2672.159068986238,5,"6E,AI,IX,QP,SG",17,False,1,2
HYD-DEL,2026-02-10,2026-02-10,0,5500,7561,6008.5,5815,560.982015245205,3,"6E,AI,QP",14,False,1,2
HYD-BOM,2026-02-10,2026-02-10,0,5530,13638,9041.25,8365,3269.6992120835826,2,"6E,AI",8,False,1,2
MAA-DEL,2026-02-10,2026-02-10,0,6615,19278,10272.363636363636,7965,4645.805405714772,2,"6E,AI",11,False,1,2
MAA-BOM,2026-02-10,2026-02-10,0,5216,17946,10348.1,8238,5256.827854324317,4,"6E,AI,QP,SG",10,False,1,2
CCU-DEL,2026-02-10,2026-02-10,0,11189,23098,15040.142857142857,14466,3198.017708723034,4,"6E,AI,QP,SG",14,False,1,2
CCU-BOM,2026-02-10,2026-02-10,0,14326,27493,18876.090909090908,17455,4371.58848713216,4,"6E,AI,QP,SG",11,False,1,2
PNQ-DEL,2026-02-10,2026-02-10,0,7029,16661,10735.4,9221,3883.8428186526808,5,"6E,AI,IX,QP,SG",10,False,1,2
PNQ-BLR,2026-02-10,2026-02-10,0,10536,13445,12154.714285714286,12161,1079.7120931441088,3,"6E,IX,QP",7,False,1,2
AMD-BOM,2026-02-10,2026-02-10,0,8831,8831,8831.0,8831,0.0,1,AI,2,False,1,2
AMD-DEL,2026-02-10,2026-02-10,0,13391,18788,13981.181818181818,13610,1523.6306411261596,2,"6E,AI",11,False,1,2
GOI-BOM,2026-02-10,2026-02-10,0,4781,9055,7011.705882352941,6877,1588.876805082793,5,"6E,AI,IX,QP,SG",17,False,1,2
GOI-BLR,2026-02-10,2026-02-10,0,6526,8966,7616.0,7524,711.36582243831,2,"6E,IX",6,False,1,2
JAI-DEL,2026-02-10,2026-02-10,0,5325,8370,6847.5,8370,1522.5,1,6E,2,False,1,2
LKO-DEL,2026-02-10,2026-02-10,0,5833,12644,8240.777777777777,7618,1910.8322664790032,3,"6E,AI,IX",9,False,1,2
PAT-DEL,2026-02-10,2026-02-10,0,5836,13704,7543.818181818182,7690,2179.950700784593,4,"6E,AI,IX,SG",11,False,1,2
SXR-DEL,2026-02-10,2026-02-10,0,4397,9200,5518.818181818182,5199,1343.0270299981996,5,"6E,AI,IX,QP,SG",11,False,1,2
BOM-DEL,2026-02-10,2026-02-10,0,6571,52086,14349.548387096775,14195,7667.429791168446,5,"6E,AI,IX,QP,SG",31,False,1,2
DEL-BLR,2026-02-10,2026-02-10,0,6506,12319,8223.413793103447,8451,1275.2763464479965,5,"6E,AI,IX,QP,SG",29,False,1,2
BOM-BLR,2026-02-10,2026-02-10,0,4178,12833,8263.333333333334,6428,3514.8496592292718,5,"6E,AI,IX,QP,SG",21,False,1,2
DEL-HYD,2026-02-10,2026-02-10,0,5500,22538,8042.277777777777,6321,4386.413528734121,4,"6E,AI,QP,SG",18,False,1,2
BOM-HYD,2026-02-10,2026-02-10,0,5063,22318,9083.222222222223,7737,4841.3342233033645,3,"6E,9I,AI",9,False,1,2
DEL-MAA,2026-02-10,2026-02-10,0,6218,11381,8151.5,8046,1552.1811803609353,2,"6E,AI",12,False,1,2
BOM-MAA,2026-02-10,2026-02-10,0,3940,6380,5064.416666666667,4950,581.159395566789,3,"6E,AI,SG",12,False,1,2
DEL-CCU,2026-02-10,2026-02-10,0,5306,15824,7855.9375,7311,2861.703305479754,4,"6E,AI,QP,SG",16,False,1,2
BOM-CCU,2026-02-10,2026-02-10,0,5596,23154,10612.583333333334,8314,6287.53667263438,4,"6E,AI,QP,SG",12,False,1,2
DEL-PNQ,2026-02-10,2026-02-10,0,8770,16320,14023.76923076923,15824,2559.770967935222,5,"6E,AI,IX,QP,SG",13,False,1,2
BLR-PNQ,2026-02-10,2026-02-10,0,7480,13667,10622.142857142857,10990,1846.5369462530532,3,"6E,IX,QP",7,False,1,2
BOM-AMD,2026-02-10,2026-02-10,0,6891,11664,8278.555555555555,8213,1296.6138045018229,3,"6E,AI,QP",9,False,1,2
DEL-AMD,2026-02-10,2026-02-10,0,11395,29062,16344.666666666666,12988,5837.100041021131,3,"6E,AI,SG",9,False,1,2
BOM-GOI,2026-02-10,2026-02-10,0,3810,7573,5221.8,4749,1174.235989910035,4,"6E,AI,IX,SG",15,False,1,2
BLR-GOI,2026-02-10,2026-02-10,0,4985,8760,6842.8,7014,1237.917186244702,2,"6E,IX",5,False,1,2
BLR-COK,2026-02-10,2026-02-10,0,8758,8760,8759.0,8760,1.0,2,"6E,IX",2,False,1,2
DEL-JAI,2026-02-10,2026-02-10,0,6291,6291,6291.0,6291,0,1,6E,1,False,1,2
DEL-LKO,2026-02-10,2026-02-10,0,8053,26743,11833.0,8158,7455.147885857127,2,"6E,AI",5,False,1,2
DEL-PAT,2026-02-10,2026-02-10,0,6793,18166,9480.333333333334,8158,3602.1970456313957,4,"6E,AI,IX,SG",9,False,1,2
DEL-SXR,2026-02-10,2026-02-10,0,12763,12968,12865.5,12968,102.5,2,"6E,IX",4,False,1,2
