search_date,search_timestamp,departure_date,days_before_departure,origin,destination,route,departure_time,arrival_time,duration_minutes,airline_code,airline_name,airline_type,flight_number,aircraft,origin_terminal,destination_terminal,departure_hour,is_weekend,day_of_week,month,min_price,max_price,avg_price,price_range,min_published_price,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T17:30:00,2026-02-08T19:50:00,140,QP,Akasa Air,Budget,1820,7MA,1,1,17,True,6,2,9027,9580,9291.5,553,9027,Economy,True,Corporate,15KG,7 KG,3
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T16:00:00,2026-02-08T18:20:00,140,QP,Akasa Air,Budget,1128,7YH,1,1,16,True,6,2,9027,9580,9291.5,553,9027,Economy,True,Corporate,15KG,7 KG,2
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T16:00:00,2026-02-08T18:20:00,140,6E,Indigo,Budget,6318,321,1,2,16,True,6,2,9209,32748,17844.8,23539,9209,Economy,True,Saver (Regular),15 Kilograms,7 KG,2
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T17:15:00,2026-02-08T19:15:00,120,6E,Indigo,Budget,6210,320,1,,17,True,6,2,9878,11453,10350.5,1575,9878,Economy,True,SME.CrpCon,15 Kilograms,7 KG,8
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T21:10:00,2026-02-08T23:35:00,145,SG,Spicejet,Budget,105,73H,1D,1,21,True,6,2,10193,12866,11620.6,2673,10193,Economy,True,Coupon,15 KG,7 KG,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T22:30:00,2026-02-09T00:50:00,140,SG,Spicejet,Budget,879,73H,1D,1,22,True,6,2,11552,13010,12339.6,1458,11552,Economy,True,Coupon,15 KG,7 KG,3
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T23:30:00,2026-02-09T01:55:00,145,6E,Indigo,Budget,519,321,1,2,23,True,6,2,11834,23265,15765.833333333334,11431,11834,Economy,True,Saver (Regular),15 Kilograms,7 KG,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T20:00:00,2026-02-08T22:20:00,140,6E,Indigo,Budget,6773,321,1,2,20,True,6,2,12569,23265,16133.333333333334,10696,12569,Economy,True,Saver (Regular),15 Kilograms,7 KG,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T22:15:00,2026-02-09T00:50:00,155,6E,Indigo,Budget,6114,321,1,2,22,True,6,2,12569,23265,16133.333333333334,10696,12569,Economy,True,Saver (Regular),15 Kilograms,7 KG,2
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T20:10:00,2026-02-08T22:35:00,145,IX,Air India Express,Premium,1235,7M8,1,2,20,True,6,2,14449,22513,16355.8,8064,14449,Economy,True,Value,15KG,7 Kg,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T21:40:00,2026-02-08T23:59:00,139,AI,Air India,Premium,2981,32N,3,2,21,True,6,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T18:00:00,2026-02-08T20:20:00,140,AI,Air India,Premium,2955,32N,3,2,18,True,6,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T22:30:00,2026-02-09T00:55:00,145,AI,Air India,Premium,2437,32N,3,2,22,True,6,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
2026-02-08,2026-02-08 07:27:00,2026-02-08,0,DEL,BOM,DEL-BOM,2026-02-08T23:00:00,2026-02-09T01:25:00,145,AI,Air India,Premium,2439,32N,3,2,23,True,6,2,15913,16227,16070.0,314,15913,Economy,True,SME,15 KG,Included,1
