route,search_date,departure_date,days_before_departure,min_price,max_price,avg_price,median_price,price_std,num_airlines,airlines,flights_count,is_weekend,day_of_week,month
DEL-BOM,2026-02-12,2026-02-12,0,5660,52054,10090.171428571428,8159,7639.450228857027,5,"6E,AI,IX,QP,SG",35,False,3,2
BLR-DEL,2026-02-12,2026-02-12,0,15355,44246,21725.52380952381,19443,6204.073612739476,4,"6E,AI,IX,SG",21,False,3,2
BLR-BOM,2026-02-12,2026-02-12,0,5740,18752,9890.368421052632,9493,3325.788900642124,5,"6E,AI,IX,QP,SG",19,False,3,2
HYD-DEL,2026-02-12,2026-02-12,0,8737,20999,11038.538461538461,10015,3078.8019801760706,3,"6E,AI,QP",13,False,3,2
HYD-BOM,2026-02-12,2026-02-12,0,11095,22402,17022.2,18988,4080.575861321537,2,"6E,AI",5,False,3,2
MAA-DEL,2026-02-12,2026-02-12,0,10413,27308,16271.454545454546,16910,4611.550722491915,2,"6E,AI",11,False,3,2
MAA-BOM,2026-02-12,2026-02-12,0,4582,21946,11216.545454545454,13131,5485.949165635231,4,"6E,AI,QP,SG",11,False,3,2
CCU-DEL,2026-02-12,2026-02-12,0,9185,16384,13518.857142857143,14020,2297.392275016638,4,"6E,AI,QP,SG",14,False,3,2
CCU-BOM,2026-02-12,2026-02-12,0,10486,18715,14988.666666666666,16195,2740.4013797657863,4,"6E,AI,QP,SG",12,False,3,2
PNQ-DEL,2026-02-12,2026-02-12,0,9440,16661,13253.615384615385,12796,2799.9396295266943,5,"6E,AI,IX,QP,SG",13,False,3,2
PNQ-BLR,2026-02-12,2026-02-12,0,10952,13445,12913.0,13188,814.4786237657981,3,"6E,IX,QP",7,False,3,2
AMD-BOM,2026-02-12,2026-02-12,0,27388,27388,27388.0,27388,0,1,AI,1,False,3,2
AMD-DEL,2026-02-12,2026-02-12,0,13391,42498,17346.444444444445,13610,9041.724246957805,2,"6E,AI",9,False,3,2
GOI-BOM,2026-02-12,2026-02-12,0,3561,8873,6437.266666666666,5569,1939.102901401115,5,"6E,AI,IX,QP,SG",15,False,3,2
GOI-BLR,2026-02-12,2026-02-12,0,5007,8966,6623.166666666667,5949,1680.0033151422317,2,"6E,IX",6,False,3,2
COK-BLR,2026-02-12,2026-02-12,0,5700,8534,7824.8,8430,1076.325303985742,3,"6E,9I,IX",5,False,3,2
